UUID,super_book_code,primary_author_name,full_book_title,stated_publication_years,illegal_date
NA,spbk0000109,"Voltaire, François Marie Arouet",Annales de l'Empire depuis Charlemagne,1785,NA
NA,spbk0000110,"Genlis, Stéphanie Félicité [comtesse de]","Annales de la vertu, ou Cours d'histoire à l'usage des jeunes personnes",NA,NA
NA,spbk0000111,"Macquer, Philippe","Annales romaines, ou Abrégé chronologique de l'histoire romaine, depuis la fondation de Rome jusqu'aux empereurs",1756,NA
NA,spbk0000112,"Castel de Saint-Pierre, Charles-Irénée","Annales politiques de feu monsieur Charles Irénée Castel, abbé de St. Pierre, de l'Académie françoise",1767,NA
NA,spbk0000113,"Arnaud, François-Thomas-Marie de Baculard [d']",Anne Bell: histoire anglaise  ,1773,NA
NA,spbk0000113,"Arnaud, François-Thomas-Marie de Baculard [d']",Anne Bell: histoire anglaise ,1770,NA
NA,spbk0000114,"Ardène, Jean-Paul de Rome [d']",Année champêtre. Partie qui traite de ce qu'il convient de faire chaque mois dans le potager,1770,NA
NA,spbk0000115,NA,Année galante ou Etrenne à l'amour. Contes! Enrichis de figures et d'ariettes,NA,NA
NA,spbk0000116,"Fréron, Élie-Catherine",Année littéraire,NA,NA
NA,spbk0000118,NA,Anti-Chartreux (l'): Poême Chrétien,1786,NA
NA,spbk0000119,"Frederick II, King of Prussia","Anti-Machiavel, ou Essai de critique sur le Prince de Machiavel",NA,NA
NA,spbk0000121,"Renoult, Jean-Baptiste",Antiquité (l') et la perpétuité de la religion protestante,1772,NA
NA,spbk0000124,"Wall, Anton","Antonie, ou l'auteur de Caroline, suivie de plusieurs pieces intéressantes, traduites de l'allemand, par Madame la chanoinesse de P.",1787,NA
NA,spbk0000125,"Servan, Joseph-Michel-Antoine",Apologie de la Bastille pour servir de réponse aux Mémoires de M. Linguet sur la Bastille... par un homme en pleine campagne,1784,NA
NA,spbk0000126,"Salchli, Jean",Apologie de l'histoire du peuple juif suivant les auteurs sacrés,1770,NA
NA,spbk0000127,NA,"Apologie du marquis de Fogliani, ci-devant vice roi de Naples",1774,NA
NA,spbk0000129,"Jouvency, Joseph de","Appendix de Diis et heroibus poeticis, ou abrégé de l'histoire poétique",NA,NA
NA,spbk0000130,"La Roche, Charles [de]","Architecture hydraulique. Canal des deux mers, par M. de La Roche",1783,NA
NA,spbk0000133,"Tissot, Samuel Auguste André David","Aristide, ou le citoyen",1766-1767,NA
NA,spbk0000137,"Le Gendre, François","Arithmétique (l') en sa perfection, mise en pratique selon l'usage des financiers, banquiers et marchands... avec un traité de géométrie pratique appliquée à l'arpentage et au toisé... et un abrégé d'algèbre...; par F. Le Gendre",1779,NA
NA,spbk0000137,"Le Gendre, François","Arithmétique (l') en sa perfection, mise en pratique selon l'usage des financiers, banquiers et marchands",NA,NA
NA,spbk0000138,"Guigoud-Pigale, Pierre","Arlequin à Genève: comédie en vers libres et en trois actes, par M. P. G. auteur du baquet magnétique",1785,NA
NA,spbk0000140,"Du Laurens, Henri-Joseph",Arrétin (l') moderne,NA,NA
NA,spbk0000141,NA,Art (l') d'aimer et le remède d'amour d'Ovide,NA,NA
NA,spbk0000142,"Gouge de Cessières, François-Étienne","Art (l') d'aimer, nouveau poëme en six chants, par Monsieur *****. Edition fidelle & complette, enrichie de figures",1775,NA
NA,spbk0000142,"Gouge de Cessières, François-Étienne","Art (l') d'aimer, nouveau poëme en six chants",1780,NA
NA,spbk0000143,Tissot [coiffeur],"Traité de la nature des cheveux, et de l'art de coeffer",1776,NA
NA,spbk0000144,"Procope-Couteaux, Michel","Art (l') de faire des garçons... Par M***, Docteur en Médecine de l’Université de Montpellier",1779,NA
NA,spbk0000144,"Procope-Couteaux, Michel","Art (l') de faire des garçons, ou Nouveau tableau de l'amour conjugal. Par M.*** docteur en médecine de l'université de Montpellier",1787,NA
NA,spbk0000145,"Frederick II, King of Prussia","Art (l') de la guerre, poëme en six chants",1760,NA
NA,spbk0000147,NA,[Art (l') de peindre au feu],NA,NA
NA,spbk0000148,"Imhoof, Jean-Jacques","Art (l') de tenir les livres en parties doubles, ou la science de faire écriture de toutes les négociations qui se font, soit en banque, soit en marchandises",1786,NA
NA,spbk0000149,"Meerwein, Carl Friedrich","Art (l') de voler à la manière des oiseaux, par Charles Frédéric Meerwein",1784,NA
NA,spbk0000150,"Buc'hoz, Pierre-Joseph","Art (l') alimentaire, ou, Methode pour préparer les aliments les plus sains pour l'homme",1783,NA
NA,spbk0000151,"Galiani, Ferdinando","Art (l') de conserver les grains, par Barthélemy Inthiery, ouvrage traduit de l'italien par les soins de M. D. N. E.",1770,NA
NA,spbk0000152,NA,Art de faire des vins,NA,NA
NA,spbk0000155,"Cailhava de L'Estandoux, Jean-François","Art (de l') de la comédie, ou Détail raisonné des diverses parties de la comédie et de ses différents genres, suivi d'un traité de l'imitation, où l'on compare à leurs originaux les imitations de Molière et celles des modernes... terminé par l'exposition des causes de la décadence du théâtre et des moyens de le faire refleurir, par M. de Cailhava ",1772,NA
NA,spbk0000156,"La Forest, Nicolas Laurent","Art (l') de soigner les pieds, contenant un traité sur les cors, verrues, durillons, oignons, engelures, les accidens des ongles et leur difformité... par M. Laforest",1783,NA
NA,spbk0000158,NA,"Recueil des articles passés en loix, dans la principauté de Neuchâtel et Valangin depuis 1700: avec les articles généraux et particuliers accordés en 1707, et ceux accordés en 1768 ",1775,NA
NA,spbk0000159,"Tronson Du Coudray, Charles","Artillerie (l') nouvelle, ou Examen des changements faits dans l'artillerie française depuis 1765, par M***",1773,NA
NA,spbk0000161,"Petit, Emilien",Observations sur plusieurs assertions extraites littéralement de l'histoire philosophique des Etablissements européens dans les deux Indes,1776,NA
NA,spbk0000162,NA,[Atlas de la Crose],NA,NA
NA,spbk0000163,NA,[Atlas des enfans],NA,NA
NA,spbk0000164,"Bonnant, Jean Pierre","Atrium latinitatis, ou recueil de mots latins à l'usage des écoliers",NA,NA
NA,spbk0000166,NA,"Princesse (la) infortunée, ou Histoire d'Auréli",1785,NA
NA,spbk0000167,"Brissot de Warville, Jacques-Pierre","Autorité (l') législative de Rome anéantie, ou Examen rapide de l'histoire et des sources du droit canonique",1785,NA
NA,spbk0000168,"Brenellerie, Paul-Phillipe Gaudin [de la]","Aux mânes de Louis XV et des grandes hommes qui ont vécu sous son règne, ou essai sur les progrès des arts et de l'esprit humain, sous le règne de Louis XV",NA,NA
NA,spbk0000169,"Joly, Joseph-Romain","Aventures (les) de Mathurin Bonice, premier habitant de l'isle de l'esclavage, ancien ministre du roi de Zanfara; tirées de ses mémoires, par un académicien des Arcades.",1782-1783,NA
NA,spbk0000170,"Renoult, Jean-Baptiste","Aventures (les) de la Madonna et de François d'Assise, recueilles de plusieurs ouvrages des docteurs romains, écrites d'un style récréatif, en même temps capable de faire sentir le ridicule du papisme sans aucune controverse, par M. Renoult",NA,NA
NA,spbk0000171,"Leroy, Antoine",Aventures (les) divertissantes du duc de Roquelaure: suivant les mémoires que l'auteur a trouvés dans le cabinet du maréchal d'H... / Par le S.L.R.,1784,NA
NA,spbk0000171,"Leroy, Antoine","Momus (le) français, ou Les aventures divertissantes du duc de Roquelaure",NA,NA
NA,spbk0000172,NA,"Aventures (les) galantes de quelques enfants de Loyola. Sur l'imprimé au Paraclet, 1782",1782,NA
NA,spbk0000174,"Defoe, Daniel","Vie (la) et les aventures surprenantes de Robinson Crusoe, contenant son retour dans son Isle, ses autres nouveaux Voyages & ses Réflections",1776,NA
NA,spbk0000174,"Defoe, Daniel",Aventures de Robinson Crusoe,1787,NA
NA,spbk0000177,"Ramond de Carbonnières, Louis-François-Elisabeth",Dernières (les) aventures du jeune d'Olban: fragment des Amours alsaciennes,1777,NA
NA,spbk0000179,"Vasse, Cornélie-Pétronille-Bénédicte Wouters [baronne de]","Aveux (les) d'une femme galante, ou lettres de Madame la Marquise de ***, à Milady Fanny Stapelton",NA,NA
NA,spbk0000180,"Tissot, Samuel Auguste André David",Avis au peuple sur sa santé,NA,NA
NA,spbk0000182,"Pennington, Sarah","Avis (les) d'une mère infortunée à ses filles, ouvrage nouvellement traduit de l'anglois... suivi de Fables morales, aussi traduites de l'anglois",1786,NA
NA,spbk0000183,"Boissy, Louis [de]","Babillard (le), comédie de M. de Boissy",NA,NA
NA,spbk0000184,NA,Bacha dans son serrail,NA,NA
NA,spbk0000185,"Lesage, Alain René","Bachelier (le) de Salamanque, ou les Mémoires et avantures de Don Chérubin de La Ronda",1777,NA
NA,spbk0000186,NA,Bagatelle (la) du moment,1784,NA
NA,spbk0000187,"Coyer, Gabriel-François",Bagatelles morales,NA,NA
NA,spbk0000187,"Coyer, Gabriel-François",Bagatelles morales,1769,NA
NA,spbk0000188,NA,Bagatelles galantes,1783,NA
NA,spbk0000189,"Genlis, Stéphanie Félicité [comtesse de]","Bal d'enfans ou le duel, comédie en deux actes",NA,NA
